user,type_bool,summary_bytes,total_byte_change,addition_or_deletion,isBotEdit,isMinor,isUnpatrolled,isNew,no_of_edits
Gwillhickers,0,26,382,1,0,0,0,0,27
.195.238.183,1,17,26,0,0,0,0,0,1
Iztwoz,1,15,16,1,0,0,0,0,32
Johnpacklambert,1,69,42,1,0,0,0,0,975
4.169.134.100,1,10,22,0,0,0,0,0,2
9.153.196.37,1,0,155,0,0,0,0,0,39
.107.20.14,1,10,3,1,0,0,0,0,1
Theringoshow,1,22,26,0,0,0,0,0,4
Mac Dreamstate,1,32,40,1,0,0,0,0,20
Clare.,1,34,1108,1,0,0,0,0,6
TheMightyPeanut,1,43,14,0,0,1,0,0,377
4.169.134.100,1,0,25,1,0,0,0,0,3
Aoh5,1,54,4,1,0,1,0,0,9
Grafen,1,58,3,0,0,1,0,0,12
AvicBot,1,55,12,1,1,1,0,0,609
Rubbish computer,1,36,2312,1,0,0,0,1,209
.52.38.236,1,0,51,1,0,0,0,0,1
2.134.31.158,1,13,102,0,0,0,0,0,1
ClueBot NG,1,193,557,0,0,1,0,0,1525
Kendall-K1,1,6,2,0,0,1,0,0,24
6.62.174.149,1,41,21,0,0,0,0,0,2
Geregen2,1,33,66,0,0,0,0,0,6
X96lee15,1,24,7,0,0,0,0,0,11
Johnpacklambert,1,69,42,1,0,0,0,0,976
8.249.61.168,1,11,1,1,0,0,0,0,4
.190.14.126,1,46,4,1,0,0,0,0,4
Cs-wolves,1,26,49,1,0,0,0,0,49
Gardar Rurak,1,0,18,1,0,0,0,0,9
Immigrant laborer,1,33,2,0,0,1,0,0,6
.161.91.219,1,0,23,0,0,0,0,0,1
.195.238.183,1,17,77,0,0,0,0,0,2
HM History Buff,1,14,38,0,0,0,0,0,6
Graeme Bartlett,1,52,24,1,0,0,0,0,119
Hugo999,1,20,206,1,0,0,0,0,252
Bretonbanquet,1,6,2,0,0,0,0,0,6
Anicodemo,1,65,1702,1,0,1,0,0,1
Zzuuzz,1,119,9,0,0,1,0,0,9
GDEBE,1,8,52,1,0,0,0,0,79
02:304:CF26:8FC0:9D12:459F:DA3A:8764,1,0,4,0,0,0,0,0,1
2.185.146.159,1,0,2,1,0,0,0,0,1
Gwillhickers,0,26,1,0,0,0,0,0,28
Jacobmichaelarends,1,22,19,1,0,0,0,0,4
Grafen,1,58,5,0,0,1,0,0,13
9.144.30.164,1,19,56,0,0,0,0,0,8
Petebutt,1,20,4478,1,0,0,0,0,20
LuizCent,1,54,914,1,0,0,0,0,1
8.78.102.234,1,10,1,0,0,0,0,0,3
4.129.196.99,1,0,254,0,0,0,0,0,1
Chesipiero,1,0,5,1,0,0,0,0,33
9.153.196.37,1,25,93,0,0,0,0,0,40
4.54.92.176,1,0,4,1,0,0,0,0,32
Grafen,1,67,1,0,0,1,0,0,14
Equinox,1,3,47,1,0,0,0,0,162
HBC AIV helperbot5,1,187,442,0,1,0,0,0,249
Iztwoz,1,4,0,0,0,1,0,0,33
Bob Burkhardt,1,67,15,0,0,0,0,0,1
Herazade,1,0,32,0,0,0,0,0,1
Rwxrwxrwx,1,8,48,1,0,0,0,0,105
Avicennasis,1,12,85,1,0,0,0,0,209
.171.210.25,1,0,10,1,0,0,0,0,2
Burl ives,1,14,290,1,0,0,0,0,15
Bduke,1,20,10939,0,0,0,0,0,5
AngusWOOF,1,21,4,1,0,0,0,0,90
.162.220.155,1,17,1,1,0,0,0,0,11
KNHaw,1,143,94,1,0,1,0,0,32
Cattus,1,26,2,1,0,0,0,0,2
Johnpacklambert,1,69,42,1,0,0,0,0,977
CAPTAIN RAJU,1,124,38,0,0,1,0,0,201
InceptionBot,1,49,11,0,1,0,0,0,956
InceptionBot,1,19,161,0,1,0,0,0,956
A02:908:ED44:7A00:6945:D547:E6D9:A4DF,1,24,26,1,0,0,0,0,1
Equinox,1,3,46,1,0,0,0,0,163
Paul August,1,27,207,1,0,0,0,0,28
Wolbo,0,26,191,1,0,0,0,1,125
RamshackleMan,1,7,1,1,0,0,0,0,17
Struway2,1,54,727,1,0,0,0,0,11
A02:C7F:A21D:A00:9AB:A1E:E55A:EC37,1,0,2,0,0,0,0,0,3
